Year,Visitor,Visitor_PTS,Home,Home_PTS,Winner
2016,Milwaukee Bucks,95,Minnesota Timberwolves,85.0,A
2016,Phoenix Suns,119,Sacramento Kings,142.0,H
2016,Houston Rockets,103,San Antonio Spurs,121.0,H
2016,Memphis Grizzlies,87,Utah Jazz,92.0,H
2016,Portland Trail Blazers,112,Denver Nuggets,106.0,A
2016,Phoenix Suns,77,Los Angeles Lakers,97.0,H
2016,Atlanta Hawks,97,New York Knicks,111.0,H
2016,Chicago Bulls,115,Toronto Raptors,113.0,A
2016,Miami Heat,97,Washington Wizards,75.0,A
2016,Boston Celtics,103,Brooklyn Nets,94.0,A
2016,Toronto Raptors,100,Cleveland Cavaliers,122.0,H
2016,Orlando Magic,89,Detroit Pistons,115.0,H
2016,Charlotte Hornets,101,Golden State Warriors,111.0,H
2016,Indiana Pacers,100,Miami Heat,103.0,H
2016,San Antonio Spurs,123,Milwaukee Bucks,98.0,A
2016,Sacramento Kings,116,Oklahoma City Thunder,104.0,A
2016,Minnesota Timberwolves,99,Philadelphia 76ers,109.0,H
2016,Memphis Grizzlies,91,Portland Trail Blazers,78.0,A
2016,Houston Rockets,93,Utah Jazz,91.0,A
2016,New York Knicks,107,Atlanta Hawks,101.0,A
2016,Milwaukee Bucks,106,Chicago Bulls,117.0,H
2016,Sacramento Kings,116,Dallas Mavericks,117.0,H
2016,Golden State Warriors,109,Los Angeles Lakers,88.0,A
2016,Detroit Pistons,99,Boston Celtics,94.0,A
2016,Toronto Raptors,91,Brooklyn Nets,74.0,A
2016,New York Knicks,98,Miami Heat,90.0,A
2016,Denver Nuggets,78,Minnesota Timberwolves,74.0,A
2016,Dallas Mavericks,100,New Orleans Pelicans,91.0,A
2016,Memphis Grizzlies,94,Oklahoma City Thunder,112.0,H
2016,Indiana Pacers,95,Orlando Magic,86.0,A
2016,Charlotte Hornets,102,Phoenix Suns,111.0,H
2016,Los Angeles Clippers,109,Portland Trail Blazers,98.0,A
2016,Utah Jazz,98,San Antonio Spurs,123.0,H
2016,Cleveland Cavaliers,121,Washington Wizards,115.0,A
2016,Boston Celtics,92,Chicago Bulls,101.0,H
2016,Utah Jazz,94,Houston Rockets,103.0,H
2016,Atlanta Hawks,126,Philadelphia 76ers,98.0,A
2016,Los Angeles Lakers,115,Sacramento Kings,118.0,H
2016,Orlando Magic,83,Brooklyn Nets,77.0,A
2016,Oklahoma City Thunder,117,Los Angeles Lakers,113.0,A
2016,Denver Nuggets,84,Memphis Grizzlies,91.0,H
2016,Dallas Mavericks,95,Milwaukee Bucks,96.0,H
2016,Cleveland Cavaliers,125,Minnesota Timberwolves,99.0,A
2016,Indiana Pacers,91,New Orleans Pelicans,86.0,A
2016,Miami Heat,103,Phoenix Suns,95.0,A
2016,Golden State Warriors,128,Portland Trail Blazers,108.0,A
2016,New York Knicks,99,San Antonio Spurs,100.0,H
2016,Toronto Raptors,97,Washington Wizards,88.0,A
2016,Chicago Bulls,105,Atlanta Hawks,120.0,H
2016,Brooklyn Nets,89,Detroit Pistons,103.0,H
2016,Charlotte Hornets,83,Los Angeles Clippers,97.0,H
2016,Washington Wizards,105,Orlando Magic,99.0,A
2016,Toronto Raptors,108,Philadelphia 76ers,95.0,A
2016,Golden State Warriors,128,Sacramento Kings,116.0,A
2016,Miami Heat,83,Utah Jazz,98.0,H
2016,Charlotte Hornets,92,Denver Nuggets,95.0,H
2016,Indiana Pacers,103,Houston Rockets,107.0,H
2016,New Orleans Pelicans,111,Los Angeles Clippers,114.0,H
2016,Utah Jazz,86,Los Angeles Lakers,74.0,A
2016,Boston Celtics,98,Memphis Grizzlies,101.0,H
2016,Dallas Mavericks,93,Minnesota Timberwolves,87.0,A
2016,Milwaukee Bucks,88,New York Knicks,100.0,H
2016,Cleveland Cavaliers,95,Philadelphia 76ers,85.0,A
2016,Oklahoma City Thunder,110,Portland Trail Blazers,115.0,H
2016,San Antonio Spurs,106,Brooklyn Nets,79.0,A
2016,Washington Wizards,114,Chicago Bulls,100.0,A
2016,Miami Heat,103,Golden State Warriors,111.0,H
2016,Cleveland Cavaliers,110,Dallas Mavericks,107.0,A
2016,San Antonio Spurs,109,Detroit Pistons,99.0,A
2016,Phoenix Suns,97,Indiana Pacers,116.0,H
2016,New Orleans Pelicans,91,Los Angeles Lakers,95.0,H
2016,Houston Rockets,107,Memphis Grizzlies,91.0,A
2016,Chicago Bulls,101,Milwaukee Bucks,106.0,H
2016,Oklahoma City Thunder,101,Minnesota Timberwolves,96.0,A
2016,Boston Celtics,114,New York Knicks,120.0,H
2016,Indiana Pacers,94,Boston Celtics,103.0,H
2016,New York Knicks,104,Brooklyn Nets,110.0,H
2016,Atlanta Hawks,84,Charlotte Hornets,107.0,H
2016,Golden State Warriors,110,Denver Nuggets,112.0,H
2016,Minnesota Timberwolves,104,Houston Rockets,107.0,H
2016,Miami Heat,90,Los Angeles Clippers,104.0,H
2016,Dallas Mavericks,89,Oklahoma City Thunder,108.0,H
2016,Utah Jazz,85,Portland Trail Blazers,99.0,H
2016,New Orleans Pelicans,109,Sacramento Kings,97.0,A
2016,Milwaukee Bucks,101,Washington Wizards,106.0,H
2016,Los Angeles Lakers,98,Golden State Warriors,116.0,H
2016,Detroit Pistons,101,Memphis Grizzlies,103.0,H
2016,Toronto Raptors,106,Orlando Magic,103.0,A
2016,Chicago Bulls,115,Philadelphia 76ers,111.0,A
2016,Cleveland Cavaliers,95,San Antonio Spurs,99.0,H
2016,Sacramento Kings,103,Utah Jazz,101.0,A
2016,Phoenix Suns,103,Boston Celtics,117.0,H
2016,Portland Trail Blazers,116,Brooklyn Nets,104.0,A
2016,Dallas Mavericks,83,Chicago Bulls,77.0,A
2016,Miami Heat,98,Denver Nuggets,95.0,A
2016,Cleveland Cavaliers,91,Houston Rockets,77.0,A
2016,Washington Wizards,118,Indiana Pacers,104.0,A
2016,Atlanta Hawks,101,Milwaukee Bucks,108.0,H
2016,Charlotte Hornets,107,New Orleans Pelicans,109.0,H
2016,Minnesota Timberwolves,93,Oklahoma City Thunder,113.0,H
2016,Brooklyn Nets,86,Atlanta Hawks,114.0,H
2016,Milwaukee Bucks,105,Charlotte Hornets,92.0,A
2016,Golden State Warriors,95,Detroit Pistons,113.0,H
2016,Sacramento Kings,110,Los Angeles Clippers,103.0,A
2016,New York Knicks,95,Memphis Grizzlies,103.0,H
2016,Portland Trail Blazers,89,Philadelphia 76ers,114.0,H
2016,Los Angeles Lakers,82,Utah Jazz,109.0,H
2016,Boston Celtics,119,Washington Wizards,117.0,A
2016,Indiana Pacers,126,Denver Nuggets,129.0,H
2016,Houston Rockets,112,Los Angeles Lakers,95.0,A
2016,Phoenix Suns,87,Minnesota Timberwolves,117.0,H
2016,Miami Heat,74,Oklahoma City Thunder,99.0,H
2016,Dallas Mavericks,83,San Antonio Spurs,112.0,H
2016,Orlando Magic,81,Atlanta Hawks,98.0,H
2016,Utah Jazz,119,Charlotte Hornets,124.0,H
2016,Golden State Warriors,132,Cleveland Cavaliers,98.0,A
2016,Boston Celtics,113,Dallas Mavericks,118.0,H
2016,Chicago Bulls,111,Detroit Pistons,101.0,A
2016,Houston Rockets,132,Los Angeles Clippers,140.0,H
2016,New Orleans Pelicans,99,Memphis Grizzlies,101.0,H
2016,Philadelphia 76ers,113,New York Knicks,119.0,H
2016,Brooklyn Nets,100,Toronto Raptors,112.0,H
2016,Portland Trail Blazers,108,Washington Wizards,98.0,A
2016,Oklahoma City Thunder,110,Denver Nuggets,104.0,A
2016,Milwaukee Bucks,91,Miami Heat,79.0,A
2016,Minnesota Timberwolves,99,New Orleans Pelicans,114.0,H
2016,Indiana Pacers,97,Phoenix Suns,94.0,A
2016,Cleveland Cavaliers,91,Brooklyn Nets,78.0,A
2016,Golden State Warriors,125,Chicago Bulls,94.0,A
2016,Minnesota Timberwolves,94,Dallas Mavericks,106.0,H
2016,Detroit Pistons,123,Houston Rockets,114.0,A
2016,Sacramento Kings,112,Los Angeles Lakers,93.0,A
2016,Utah Jazz,111,New York Knicks,118.0,H
2016,Charlotte Hornets,95,Oklahoma City Thunder,109.0,H
2016,Philadelphia 76ers,96,Orlando Magic,87.0,A
2016,Atlanta Hawks,104,Portland Trail Blazers,98.0,A
2016,Boston Celtics,109,Toronto Raptors,115.0,H
2016,Miami Heat,87,Washington Wizards,106.0,H
2016,Los Angeles Clippers,102,Cleveland Cavaliers,115.0,H
2016,Memphis Grizzlies,102,Denver Nuggets,101.0,A
2016,Detroit Pistons,99,New Orleans Pelicans,115.0,H
2016,San Antonio Spurs,117,Phoenix Suns,89.0,A
2016,Atlanta Hawks,88,Sacramento Kings,91.0,H
2016,Chicago Bulls,101,Boston Celtics,110.0,H
2016,Utah Jazz,108,Brooklyn Nets,86.0,A
2016,Oklahoma City Thunder,109,Dallas Mavericks,106.0,A
2016,Indiana Pacers,110,Golden State Warriors,122.0,H
2016,Milwaukee Bucks,98,Houston Rockets,102.0,H
2016,San Antonio Spurs,108,Los Angeles Lakers,95.0,A
2016,Los Angeles Clippers,116,New York Knicks,88.0,A
2016,Charlotte Hornets,120,Orlando Magic,116.0,A
2016,Miami Heat,81,Toronto Raptors,101.0,H
2016,New York Knicks,84,Charlotte Hornets,97.0,H
2016,Chicago Bulls,96,Cleveland Cavaliers,83.0,A
2016,Detroit Pistons,101,Denver Nuggets,104.0,H
2016,Memphis Grizzlies,101,Minnesota Timberwolves,106.0,H
2016,Milwaukee Bucks,99,New Orleans Pelicans,116.0,H
2016,Atlanta Hawks,95,Phoenix Suns,98.0,H
2016,Los Angeles Lakers,103,Portland Trail Blazers,121.0,H
2016,Indiana Pacers,97,Sacramento Kings,108.0,H
2016,Oklahoma City Thunder,106,Brooklyn Nets,116.0,H
2016,Dallas Mavericks,104,Houston Rockets,115.0,H
2016,Boston Celtics,112,Philadelphia 76ers,92.0,A
2016,Los Angeles Clippers,94,Toronto Raptors,112.0,H
2016,Miami Heat,89,Chicago Bulls,84.0,A
2016,Minnesota Timberwolves,107,Cleveland Cavaliers,114.0,H
2016,Atlanta Hawks,119,Denver Nuggets,105.0,A
2016,San Antonio Spurs,90,Golden State Warriors,120.0,H
2016,Orlando Magic,102,Memphis Grizzlies,108.0,H
2016,Houston Rockets,112,New Orleans Pelicans,111.0,A
2016,Charlotte Hornets,129,Sacramento Kings,128.0,A
2016,Detroit Pistons,95,Utah Jazz,92.0,A
2016,Boston Celtics,116,Washington Wizards,91.0,A
2016,Miami Heat,102,Brooklyn Nets,98.0,A
2016,Los Angeles Clippers,91,Indiana Pacers,89.0,A
2016,Dallas Mavericks,92,Los Angeles Lakers,90.0,A
2016,Orlando Magic,100,Milwaukee Bucks,107.0,H
2016,Oklahoma City Thunder,128,New York Knicks,122.0,A
2016,Phoenix Suns,103,Philadelphia 76ers,113.0,H
2016,Sacramento Kings,97,Portland Trail Blazers,112.0,H
2016,Washington Wizards,89,Toronto Raptors,106.0,H
2016,Los Angeles Clippers,85,Atlanta Hawks,83.0,A
2016,Denver Nuggets,103,Boston Celtics,111.0,H
2016,Phoenix Suns,93,Cleveland Cavaliers,115.0,H
2016,Philadelphia 76ers,97,Detroit Pistons,110.0,H
2016,Dallas Mavericks,107,Golden State Warriors,127.0,H
2016,Oklahoma City Thunder,126,Minnesota Timberwolves,123.0,A
2016,Houston Rockets,99,San Antonio Spurs,130.0,H
2016,Charlotte Hornets,73,Utah Jazz,102.0,H
2016,Atlanta Hawks,92,Indiana Pacers,111.0,H
2016,Chicago Bulls,114,Los Angeles Lakers,91.0,A
2016,Milwaukee Bucks,83,Memphis Grizzlies,103.0,H
2016,Sacramento Kings,105,New Orleans Pelicans,114.0,H
2016,New York Knicks,93,Toronto Raptors,103.0,H
2016,Denver Nuggets,117,Washington Wizards,113.0,A
2016,Orlando Magic,94,Boston Celtics,113.0,H
2016,Brooklyn Nets,79,Dallas Mavericks,91.0,H
2016,Cleveland Cavaliers,114,Detroit Pistons,106.0,A
2016,Los Angeles Lakers,93,Los Angeles Clippers,105.0,H
2016,Miami Heat,107,Milwaukee Bucks,103.0,A
2016,Phoenix Suns,84,New York Knicks,102.0,H
2016,Houston Rockets,108,Oklahoma City Thunder,116.0,H
2016,Charlotte Hornets,91,Portland Trail Blazers,109.0,H
2016,Minnesota Timberwolves,90,Utah Jazz,103.0,H
2016,San Antonio Spurs,103,Cleveland Cavaliers,117.0,H
2016,Washington Wizards,123,Houston Rockets,122.0,A
2016,Denver Nuggets,105,Indiana Pacers,109.0,H
2016,Sacramento Kings,117,Memphis Grizzlies,121.0,H
2016,Brooklyn Nets,103,New Orleans Pelicans,105.0,H
2016,Golden State Warriors,108,Philadelphia 76ers,105.0,A
2016,Detroit Pistons,107,Toronto Raptors,111.0,H
2016,Phoenix Suns,78,Dallas Mavericks,91.0,H
2016,Chicago Bulls,93,Los Angeles Clippers,120.0,H
2016,Charlotte Hornets,101,Los Angeles Lakers,82.0,A
2016,Atlanta Hawks,87,Miami Heat,105.0,H
2016,Golden State Warriors,116,New York Knicks,95.0,A
2016,Boston Celtics,114,Orlando Magic,119.0,H
2016,Minnesota Timberwolves,93,Portland Trail Blazers,96.0,H
2016,Dallas Mavericks,97,Atlanta Hawks,112.0,H
2016,Detroit Pistons,105,Brooklyn Nets,100.0,A
2016,Toronto Raptors,93,Denver Nuggets,112.0,H
2016,Cleveland Cavaliers,111,Indiana Pacers,106.0,A
2016,Memphis Grizzlies,110,New Orleans Pelicans,95.0,A
2016,Washington Wizards,98,Oklahoma City Thunder,114.0,H
2016,Milwaukee Bucks,104,Sacramento Kings,111.0,H
2016,Orlando Magic,92,San Antonio Spurs,107.0,H
2016,Chicago Bulls,96,Utah Jazz,105.0,H
2016,Miami Heat,102,Houston Rockets,115.0,H
2016,Minnesota Timberwolves,115,Los Angeles Lakers,119.0,H
2016,Boston Celtics,97,New York Knicks,89.0,A
2016,Toronto Raptors,104,Phoenix Suns,97.0,A
2016,Milwaukee Bucks,95,Portland Trail Blazers,107.0,H
2016,Detroit Pistons,95,Boston Celtics,102.0,H
2016,Indiana Pacers,114,Brooklyn Nets,100.0,A
2016,Cleveland Cavaliers,97,Charlotte Hornets,106.0,H
2016,Miami Heat,93,Dallas Mavericks,90.0,A
2016,Minnesota Timberwolves,108,Los Angeles Clippers,102.0,A
2016,Orlando Magic,114,Oklahoma City Thunder,117.0,H
2016,Atlanta Hawks,124,Philadelphia 76ers,86.0,A
2016,Chicago Bulls,107,Sacramento Kings,102.0,A
2016,New Orleans Pelicans,97,San Antonio Spurs,110.0,H
2016,Denver Nuggets,81,Utah Jazz,85.0,H
2016,Golden State Warriors,134,Washington Wizards,121.0,A
2016,New York Knicks,105,Detroit Pistons,111.0,H
2016,Los Angeles Lakers,99,New Orleans Pelicans,96.0,A
2016,Houston Rockets,111,Phoenix Suns,105.0,A
2016,Toronto Raptors,110,Portland Trail Blazers,103.0,A
2016,Indiana Pacers,96,Atlanta Hawks,102.0,H
2016,Sacramento Kings,119,Brooklyn Nets,128.0,H
2016,Miami Heat,98,Charlotte Hornets,95.0,A
2016,Boston Celtics,104,Cleveland Cavaliers,103.0,A
2016,San Antonio Spurs,116,Dallas Mavericks,90.0,A
2016,Chicago Bulls,110,Denver Nuggets,115.0,H
2016,Memphis Grizzlies,91,New York Knicks,85.0,A
2016,Los Angeles Clippers,107,Orlando Magic,93.0,A
2016,Milwaukee Bucks,81,Utah Jazz,84.0,H
2016,Philadelphia 76ers,94,Washington Wizards,106.0,H
2016,Washington Wizards,104,Charlotte Hornets,108.0,H
2016,New Orleans Pelicans,84,Cleveland Cavaliers,99.0,H
2016,Oklahoma City Thunder,108,Golden State Warriors,116.0,H
2016,Portland Trail Blazers,96,Houston Rockets,79.0,A
2016,Detroit Pistons,104,Indiana Pacers,112.0,H
2016,Dallas Mavericks,114,Memphis Grizzlies,110.0,A
2016,Chicago Bulls,105,Minnesota Timberwolves,112.0,H
2016,Brooklyn Nets,98,Philadelphia 76ers,103.0,H
2016,Utah Jazz,98,Phoenix Suns,89.0,A
2016,Los Angeles Lakers,102,San Antonio Spurs,106.0,H
2016,Sacramento Kings,119,Boston Celtics,128.0,H
2016,Los Angeles Clippers,100,Miami Heat,93.0,A
2016,Denver Nuggets,101,New York Knicks,96.0,A
2016,Atlanta Hawks,94,Orlando Magic,96.0,H
2016,Orlando Magic,117,Atlanta Hawks,110.0,A
2016,Denver Nuggets,104,Brooklyn Nets,105.0,H
2016,Chicago Bulls,91,Charlotte Hornets,108.0,H
2016,Sacramento Kings,100,Cleveland Cavaliers,120.0,H
2016,Toronto Raptors,103,Detroit Pistons,89.0,A
2016,Los Angeles Lakers,87,Indiana Pacers,89.0,H
2016,Portland Trail Blazers,112,Memphis Grizzlies,106.0,A
2016,New Orleans Pelicans,116,Minnesota Timberwolves,102.0,A
2016,Los Angeles Clippers,98,Philadelphia 76ers,92.0,A
2016,Oklahoma City Thunder,122,Phoenix Suns,106.0,A
2016,Utah Jazz,121,Dallas Mavericks,119.0,A
2016,Houston Rockets,110,Golden State Warriors,123.0,H
2016,San Antonio Spurs,119,Miami Heat,101.0,A
2016,Boston Celtics,111,Milwaukee Bucks,112.0,H
2016,Washington Wizards,111,New York Knicks,108.0,A
2016,Los Angeles Clippers,134,Boston Celtics,139.0,H
2016,Memphis Grizzlies,109,Brooklyn Nets,90.0,A
2016,Atlanta Hawks,113,Chicago Bulls,90.0,A
2016,Los Angeles Lakers,111,Cleveland Cavaliers,120.0,H
2016,Denver Nuggets,103,Detroit Pistons,92.0,A
2016,Charlotte Hornets,117,Indiana Pacers,95.0,A
2016,Toronto Raptors,112,Minnesota Timberwolves,117.0,H
2016,Utah Jazz,96,New Orleans Pelicans,100.0,H
2016,San Antonio Spurs,98,Orlando Magic,96.0,A
2016,Sacramento Kings,114,Philadelphia 76ers,110.0,A
2016,Golden State Warriors,112,Phoenix Suns,104.0,A
2016,Houston Rockets,103,Portland Trail Blazers,116.0,H
2016,Washington Wizards,92,Milwaukee Bucks,99.0,H
2016,New Orleans Pelicans,95,Oklahoma City Thunder,121.0,H
2016,Chicago Bulls,95,Cleveland Cavaliers,106.0,H
2016,San Antonio Spurs,86,Los Angeles Clippers,105.0,H
2016,Utah Jazz,89,Washington Wizards,103.0,H
2016,Miami Heat,115,Atlanta Hawks,111.0,A
2016,New York Knicks,98,Brooklyn Nets,109.0,H
2016,Toronto Raptors,106,Chicago Bulls,116.0,H
2016,San Antonio Spurs,119,Los Angeles Lakers,113.0,A
2016,Minnesota Timberwolves,104,Memphis Grizzlies,109.0,H
2016,Charlotte Hornets,98,Milwaukee Bucks,95.0,A
2016,Philadelphia 76ers,114,New Orleans Pelicans,121.0,H
2016,Indiana Pacers,101,Oklahoma City Thunder,98.0,A
2016,Dallas Mavericks,104,Orlando Magic,110.0,H
2016,Houston Rockets,116,Phoenix Suns,100.0,A
2016,Golden State Warriors,105,Portland Trail Blazers,137.0,H
2016,Denver Nuggets,110,Sacramento Kings,116.0,H
2016,Boston Celtics,93,Utah Jazz,111.0,H
2016,Detroit Pistons,86,Washington Wizards,98.0,H
2016,Milwaukee Bucks,117,Atlanta Hawks,109.0,A
2016,Golden State Warriors,115,Los Angeles Clippers,112.0,A
2016,Washington Wizards,94,Miami Heat,114.0,H
2016,New York Knicks,103,Minnesota Timberwolves,95.0,A
2016,Charlotte Hornets,104,Brooklyn Nets,96.0,A
2016,Los Angeles Lakers,115,Chicago Bulls,126.0,H
2016,Philadelphia 76ers,103,Dallas Mavericks,129.0,H
2016,Boston Celtics,121,Denver Nuggets,101.0,A
2016,New Orleans Pelicans,111,Detroit Pistons,106.0,A
2016,Cleveland Cavaliers,115,Oklahoma City Thunder,92.0,A
2016,Indiana Pacers,105,Orlando Magic,102.0,A
2016,San Antonio Spurs,118,Phoenix Suns,111.0,A
2016,Utah Jazz,111,Portland Trail Blazers,115.0,H
2016,Memphis Grizzlies,85,Toronto Raptors,98.0,H
2016,Golden State Warriors,102,Atlanta Hawks,92.0,A
2016,Detroit Pistons,96,Cleveland Cavaliers,88.0,A
2016,Phoenix Suns,84,Los Angeles Clippers,124.0,H
2016,Indiana Pacers,93,Miami Heat,101.0,H
2016,Los Angeles Lakers,101,Milwaukee Bucks,108.0,H
2016,Boston Celtics,122,Minnesota Timberwolves,124.0,H
2016,Toronto Raptors,122,New York Knicks,95.0,A
2016,Sacramento Kings,114,Denver Nuggets,110.0,A
2016,Orlando Magic,124,Philadelphia 76ers,115.0,A
2016,Brooklyn Nets,104,Portland Trail Blazers,112.0,H
2016,Houston Rockets,114,Utah Jazz,117.0,H
2016,New Orleans Pelicans,89,Washington Wizards,109.0,H
2016,Washington Wizards,104,Chicago Bulls,109.0,H
2016,Charlotte Hornets,103,Cleveland Cavaliers,114.0,H
2016,Oklahoma City Thunder,116,Dallas Mavericks,103.0,A
2016,Philadelphia 76ers,91,Detroit Pistons,111.0,H
2016,New York Knicks,105,Indiana Pacers,108.0,H
2016,Denver Nuggets,87,Los Angeles Clippers,81.0,A
2016,Los Angeles Lakers,119,Memphis Grizzlies,128.0,H
2016,Golden State Warriors,118,Miami Heat,112.0,A
2016,San Antonio Spurs,108,Sacramento Kings,92.0,A
2016,Minnesota Timberwolves,105,Toronto Raptors,114.0,H
2016,Milwaukee Bucks,107,Boston Celtics,112.0,H
2016,Oklahoma City Thunder,119,New Orleans Pelicans,123.0,H
2016,Golden State Warriors,130,Orlando Magic,114.0,A
2016,Brooklyn Nets,116,Phoenix Suns,106.0,A
2016,Houston Rockets,119,Portland Trail Blazers,105.0,A
2016,San Antonio Spurs,96,Utah Jazz,78.0,A
2016,Chicago Bulls,88,Atlanta Hawks,103.0,H
2016,Denver Nuggets,116,Dallas Mavericks,122.0,H
2016,Charlotte Hornets,96,Indiana Pacers,95.0,A
2016,Memphis Grizzlies,112,Los Angeles Lakers,95.0,A
2016,Orlando Magic,95,New York Knicks,108.0,H
2016,Washington Wizards,103,Philadelphia 76ers,94.0,A
2016,Los Angeles Clippers,117,Sacramento Kings,107.0,A
2016,Cleveland Cavaliers,97,Toronto Raptors,99.0,H
2016,Miami Heat,89,Boston Celtics,101.0,H
2016,Portland Trail Blazers,103,Chicago Bulls,95.0,A
2016,San Antonio Spurs,104,Houston Rockets,94.0,A
2016,Detroit Pistons,102,Milwaukee Bucks,91.0,A
2016,Minnesota Timberwolves,112,New Orleans Pelicans,110.0,A
2016,Golden State Warriors,121,Oklahoma City Thunder,118.0,A
2016,Memphis Grizzlies,106,Phoenix Suns,111.0,H
2016,Brooklyn Nets,98,Utah Jazz,96.0,A
2016,Charlotte Hornets,76,Atlanta Hawks,87.0,H
2016,Minnesota Timberwolves,101,Dallas Mavericks,128.0,H
2016,Toronto Raptors,101,Detroit Pistons,114.0,H
2016,Portland Trail Blazers,111,Indiana Pacers,102.0,A
2016,Miami Heat,98,New York Knicks,81.0,A
2016,Philadelphia 76ers,116,Orlando Magic,130.0,H
2016,Cleveland Cavaliers,99,Washington Wizards,113.0,H
2016,Utah Jazz,95,Boston Celtics,100.0,H
2016,Indiana Pacers,96,Cleveland Cavaliers,100.0,H
2016,Memphis Grizzlies,103,Denver Nuggets,96.0,A
2016,Brooklyn Nets,95,Los Angeles Clippers,105.0,H
2016,Houston Rockets,121,Milwaukee Bucks,128.0,H
2016,Oklahoma City Thunder,131,Sacramento Kings,116.0,A
2016,Philadelphia 76ers,108,Washington Wizards,116.0,H
2016,Phoenix Suns,92,Charlotte Hornets,126.0,H
2016,Orlando Magic,108,Dallas Mavericks,121.0,H
2016,Atlanta Hawks,105,Golden State Warriors,109.0,H
2016,Brooklyn Nets,101,Los Angeles Lakers,107.0,H
2016,Chicago Bulls,111,Miami Heat,129.0,H
2016,Portland Trail Blazers,104,New York Knicks,85.0,A
2016,Portland Trail Blazers,93,Boston Celtics,116.0,H
2016,Los Angeles Lakers,107,Denver Nuggets,117.0,H
2016,New Orleans Pelicans,95,Houston Rockets,100.0,H
2016,Oklahoma City Thunder,98,Los Angeles Clippers,103.0,H
2016,Sacramento Kings,98,Memphis Grizzlies,104.0,H
2016,Indiana Pacers,104,Milwaukee Bucks,99.0,A
2016,Washington Wizards,104,Minnesota Timberwolves,98.0,A
2016,Chicago Bulls,89,Orlando Magic,102.0,H
2016,Charlotte Hornets,119,Philadelphia 76ers,99.0,A
2016,Detroit Pistons,81,San Antonio Spurs,97.0,H
2016,Utah Jazz,94,Toronto Raptors,104.0,H
2016,Sacramento Kings,104,Dallas Mavericks,101.0,A
2016,Oklahoma City Thunder,106,Golden State Warriors,121.0,H
2016,Phoenix Suns,92,Miami Heat,108.0,H
2016,San Antonio Spurs,94,New Orleans Pelicans,86.0,A
2016,New York Knicks,104,Boston Celtics,105.0,H
2016,Indiana Pacers,101,Charlotte Hornets,108.0,H
2016,Washington Wizards,83,Cleveland Cavaliers,108.0,H
2016,Brooklyn Nets,121,Denver Nuggets,120.0,A
2016,Atlanta Hawks,106,Los Angeles Lakers,77.0,A
2016,Utah Jazz,88,Memphis Grizzlies,94.0,H
2016,Minnesota Timberwolves,101,Milwaukee Bucks,116.0,H
2016,Phoenix Suns,102,Orlando Magic,84.0,A
2016,Miami Heat,112,Philadelphia 76ers,102.0,A
2016,Portland Trail Blazers,115,Toronto Raptors,117.0,H
2016,Houston Rockets,100,Chicago Bulls,108.0,H
2016,Boston Celtics,103,Cleveland Cavaliers,120.0,H
2016,Atlanta Hawks,107,Los Angeles Clippers,97.0,A
2016,Brooklyn Nets,118,Minnesota Timberwolves,132.0,H
2016,Utah Jazz,106,New Orleans Pelicans,94.0,A
2016,Detroit Pistons,89,New York Knicks,102.0,H
2016,Sacramento Kings,94,San Antonio Spurs,104.0,H
2016,Indiana Pacers,100,Washington Wizards,99.0,A
2016,Dallas Mavericks,114,Denver Nuggets,116.0,H
2016,Portland Trail Blazers,103,Detroit Pistons,123.0,H
2016,Golden State Warriors,95,Los Angeles Lakers,112.0,H
2016,Phoenix Suns,109,Memphis Grizzlies,100.0,A
2016,Philadelphia 76ers,98,Miami Heat,103.0,H
2016,Oklahoma City Thunder,104,Milwaukee Bucks,96.0,A
2016,Houston Rockets,113,Toronto Raptors,107.0,A
2016,Milwaukee Bucks,90,Chicago Bulls,100.0,H
2016,Minnesota Timberwolves,103,Charlotte Hornets,108.0,H
2016,Memphis Grizzlies,106,Cleveland Cavaliers,103.0,A
2016,Los Angeles Clippers,109,Dallas Mavericks,90.0,A
2016,Orlando Magic,113,Golden State Warriors,119.0,H
2016,San Antonio Spurs,91,Indiana Pacers,99.0,H
2016,Sacramento Kings,112,New Orleans Pelicans,115.0,H
2016,New York Knicks,94,Denver Nuggets,110.0,H
2016,Orlando Magic,98,Los Angeles Lakers,107.0,H
2016,San Antonio Spurs,116,Minnesota Timberwolves,91.0,A
2016,Washington Wizards,109,Portland Trail Blazers,116.0,H
2016,Brooklyn Nets,99,Toronto Raptors,104.0,H
2016,Atlanta Hawks,91,Utah Jazz,84.0,A
2016,Memphis Grizzlies,96,Boston Celtics,116.0,H
2016,New Orleans Pelicans,113,Charlotte Hornets,122.0,H
2016,Detroit Pistons,102,Dallas Mavericks,96.0,A
2016,Utah Jazz,94,Golden State Warriors,115.0,H
2016,Miami Heat,108,Milwaukee Bucks,114.0,H
2016,Los Angeles Clippers,108,Oklahoma City Thunder,120.0,H
2016,Houston Rockets,118,Philadelphia 76ers,104.0,A
2016,New York Knicks,128,Phoenix Suns,97.0,A
2016,Cleveland Cavaliers,120,Sacramento Kings,111.0,A
2016,Phoenix Suns,98,Denver Nuggets,116.0,H
2016,Cleveland Cavaliers,120,Los Angeles Lakers,108.0,A
2016,Chicago Bulls,101,San Antonio Spurs,109.0,H
2016,Atlanta Hawks,96,Toronto Raptors,104.0,H
2016,Houston Rockets,102,Boston Celtics,98.0,A
